date,used slots,sys slots
2012-08-21 18:51:00,1200,2880
2012-08-21 19:51:00,1200,2880
2012-08-21 20:51:00,1200,2880
2012-08-21 21:51:00,363,2880
2012-08-21 22:51:00,300,2880
2012-08-21 23:51:00,300,2880
2012-08-22 00:51:00,300,2880
2012-08-22 01:51:00,300,2880
2012-08-22 02:51:00,300,2880
2012-08-22 03:51:00,300,2880
2012-08-22 04:51:00,300,2880
2012-08-22 05:51:00,300,2880
2012-08-22 06:51:00,300,2880
2012-08-22 07:51:00,1383,2880
2012-08-22 08:51:00,2800,2880
2012-08-22 09:51:00,2555,2880
2012-08-22 10:51:00,2503,2880
2012-08-22 11:51:00,2500,2880
2012-08-22 12:51:00,2501,2880
2012-08-22 13:51:00,2500,2880
2012-08-22 14:51:00,2515,2880
2012-08-22 15:51:00,2500,2880
2012-08-22 16:51:00,2630,2880
2012-08-22 17:51:00,2750,2880
2012-08-22 18:51:00,2586,2880
2012-08-22 19:51:00,2500,2880
2012-08-22 20:51:00,2500,2880
2012-08-22 21:51:00,2500,2880
2012-08-22 22:51:00,2500,2880
2012-08-22 23:51:00,2500,2880
2012-08-23 00:51:00,2500,2880
2012-08-23 01:51:00,2500,2880
2012-08-23 02:51:00,2500,2880
2012-08-23 03:51:00,2500,2880
2012-08-23 04:51:00,2500,2880
2012-08-23 05:51:00,2500,2880
2012-08-23 06:51:00,2500,2880
2012-08-23 07:51:00,2710,2880
2012-08-23 08:51:00,2780,2880
2012-08-23 09:51:00,2774,2880
2012-08-23 10:51:00,2780,2880
2012-08-23 11:51:00,2832,2880
2012-08-23 12:51:00,2850,2880
2012-08-23 13:51:00,2535,2880
2012-08-23 14:51:00,2821,2880
2012-08-23 15:51:00,2851,2880
2012-08-23 16:51:00,2537,2880
2012-08-23 17:51:00,2642,2880
2012-08-23 18:51:00,2530,2880
2012-08-23 19:51:00,2500,2880
2012-08-23 20:51:00,2500,2880
2012-08-23 21:51:00,2500,2880
2012-08-23 22:51:00,2500,2880
2012-08-23 23:51:00,2500,2880
2012-08-24 00:51:00,2500,2880
2012-08-24 01:51:00,2500,2880
2012-08-24 02:51:00,2500,2880
2012-08-24 03:51:00,2500,2880
2012-08-24 04:51:00,2500,2880
2012-08-24 05:51:00,2500,2880
2012-08-24 06:51:00,2500,2880
2012-08-24 07:51:00,2500,2880
2012-08-24 08:51:00,2533,2880
2012-08-24 09:51:00,2515,2880
2012-08-24 10:51:00,2793,2880
2012-08-24 11:51:00,2518,2880
2012-08-24 12:51:00,2500,2880
2012-08-24 13:51:00,2513,2880
2012-08-24 14:51:00,2606,2880
2012-08-24 15:51:00,759,2880
2012-08-24 16:51:00,121,2880
2012-08-24 17:51:00,0,2880
2012-08-24 18:51:00,0,2880
2012-08-24 19:51:00,0,2880
2012-08-24 20:51:00,0,2880
2012-08-24 21:51:00,0,2880
2012-08-24 22:51:00,0,2880
2012-08-24 23:51:00,0,2880
2012-08-25 00:51:00,0,2880
2012-08-25 01:51:00,0,2880
2012-08-25 02:51:00,0,2880
2012-08-25 03:51:00,0,2880
2012-08-25 04:51:00,0,2880
2012-08-25 05:51:00,0,2880
2012-08-25 06:51:00,0,2880
2012-08-25 07:51:00,0,2880
2012-08-25 08:51:00,0,2880
2012-08-25 09:51:00,0,2880
2012-08-25 10:51:00,0,2880
2012-08-25 11:51:00,0,2880
2012-08-25 12:51:00,0,2880
2012-08-25 13:51:00,0,2880
2012-08-25 14:51:00,0,2880
2012-08-25 15:51:00,0,2880
2012-08-25 16:51:00,0,2880
2012-08-25 17:51:00,0,2880
2012-08-25 18:51:00,0,2880
2012-08-25 19:51:00,0,2880
2012-08-25 20:51:00,0,2880
2012-08-25 21:51:00,0,2880
2012-08-25 22:51:00,0,2880
2012-08-25 23:51:00,0,2880
2012-08-26 00:51:00,0,2880
2012-08-26 01:51:00,0,2880
2012-08-26 02:51:00,0,2880
2012-08-26 03:51:00,0,2880
2012-08-26 04:51:00,0,2880
2012-08-26 05:51:00,0,2880
2012-08-26 06:51:00,0,2880
2012-08-26 07:51:00,0,2880
2012-08-26 08:51:00,0,2880
2012-08-26 09:51:00,0,2880
2012-08-26 10:51:00,0,2880
2012-08-26 11:51:00,0,2880
2012-08-26 12:51:00,0,2880
2012-08-26 13:51:00,0,2880
2012-08-26 14:51:00,0,2880
2012-08-26 15:51:00,0,2880
2012-08-26 16:51:00,0,2880
2012-08-26 17:51:00,0,2880
2012-08-26 18:51:00,0,2880
2012-08-26 19:51:00,0,2880
2012-08-26 20:51:00,0,2880
2012-08-26 21:51:00,0,2880
2012-08-26 22:51:00,0,2880
2012-08-26 23:51:00,0,2880
2012-08-27 00:51:00,0,2880
2012-08-27 01:51:00,0,2880
2012-08-27 02:51:00,0,2880
2012-08-27 03:51:00,0,2880
2012-08-27 04:51:00,0,2880
2012-08-27 05:51:00,0,2880
2012-08-27 06:51:00,0,2880
